"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"2310","Pootie Tang",3500000,3293258,2001,6,29,"Pootie Tang",64,29,70,"Lance Crouther","Jennifer Coolidge","Wanda Sykes","tt0258038",31,"English","Louis C.K.","Comedy, Musical, Adventure",5,9558,1,0,0,4
"2311","Margin Call",3400000,5353586,2011,10,21,"Margin Call",74,88,106,"Kevin Spacey","Paul Bettany","Jeremy Irons","tt1615147",76,"English","J.C. Chandor","Drama, Thriller",7.1,67141,0,1,0,4
"2312","Bella",3300000,8093373,2007,10,26,"Bella (Beauty)",81,44,91,"Eduardo Verastegui","Tammy Blanchard","Manny Perez","tt0482463",47,"English, Spanish","Alejandro Monteverde","Drama, Romance",7.4,8622,1,0,0,4
"2313","Cidade de Deus",3300000,7563397,2003,1,17,"Cidade de Deus (City of God)",97,90,130,"Alexandre Rodrigues","Leandro Firmino da Hora","Matheus Nachtergaele","tt0317248",79,"Portuguese","Fernando Meirelles, Kátia Lund","Crime, Drama",8.7,379195,0,1,0,4
"2314","A Christmas Story",3250000,20605209,1983,11,18,"A Christmas Story",89,88,93,"Melinda Dillon","Darren McGavin","Peter Billingsley","tt0085334",77,"English","Bob Clark","Comedy, Family",8.1,84609,1,0,0,4
"2315","Maria Full of Grace",3200000,6529624,2004,7,16,"Maria Full of Grace",87,97,101,"Catalina Sandino Moreno","Yenny Paola Vega","Guilied Lopez","tt0390221",87,"Spanish, English","Joshua Marston","Crime, Drama",7.5,26623,0,1,0,4
"2316","Beginners",3200000,5790894,2011,6,3,"Beginners",77,84,104,"Ewan McGregor","Christopher Plummer","Melanie Laurent","tt1532503",81,"English, French","Mike Mills","Comedy, Drama, Romance",7.2,53473,0,1,0,4
"2317","Adam",3200000,2277396,2009,7,29,"Adam",72,64,99,"Hugh Dancy","Rose Byrne","Peter Gallagher","tt1185836",56,"English","Max Mayer","Drama, Romance",7.3,22844,1,0,0,2
"2318","Trainspotting",3100000,16501785,1996,7,19,"Trainspotting",94,89,93,"Ewan McGregor","Ewen Bremner","Jonny Lee Miller","tt0117951",83,"English","Danny Boyle","Crime, Drama",8.2,339012,0,1,0,4
"2319","Paranormal Activity 2",3000000,84752907,2010,10,20,"Paranormal Activity 2",49,58,91,"Katie Featherston","Micah Sloat","Brian Boland","tt1536044",53,"English, Spanish","Tod Williams","Horror",5.7,62288,0,1,0,2
"2320","The Purge",3000000,64473115,2013,6,7,"The Purge",37,37,85,"Ethan Hawke","Lena Headey","Adelaide Kane","tt2184339",41,"English","James DeMonaco","Horror, Sci-Fi, Thriller",5.5,64667,0,1,0,4
"2321","Sinister",3000000,48086903,2012,10,12,"Sinister",61,63,109,"Ethan Hawke","Juliet Rylance","Fred Dalton Thompson","tt1922777",53,"English, Portuguese, French, Breton","Scott Derrickson","Horror, Mystery, Thriller",6.8,80468,0,1,0,4
"2322","The Original Kings of Comedy",3000000,38168022,2000,8,18,"The Original Kings of Comedy",79,86,111,"Steve Harvey","D.L. Hughley","Cedric the Entertainer","tt0236388",76,"English","Spike Lee","Comedy, Documentary",6.6,4311,0,1,0,4
"2323","Waking Ned Devine",3000000,24793251,1998,11,20,"Waking Ned Devine",89,83,90,"Ian Bannen","David Kelly","Fionnula Flanagan","tt0166396",71,"English, Latin, Irish","Kirk Jones","Comedy",7.4,18634,1,0,0,4
